geometry,ID,Country,X,Y,Casos,casos_10000hab,Orden
"{""type"":""Point"",""coordinates"":[66.0264707816066,33.83880563218347]}",,Afganistán,66,34,31238,"26,9",1
"{""type"":""Point"",""coordinates"":[20.067880788449727,41.14067724011893]}",,Albania,20,41,2402,34,2
"{""type"":""Point"",""coordinates"":[10.393646181995662,51.106562117625536]}",,Alemania,10,51,194693,"215,3",3
"{""type"":""Point"",""coordinates"":[1.576765952303024,42.54865451886395]}",,Andorra,2,43,855,"982,7",4
"{""type"":""Point"",""coordinates"":[17.5446759870589,-12.29528590445881]}",,Angola,18,-12,267,"0,2",5
"{""type"":""Point"",""coordinates"":[-61.79123694125075,17.279821062783494]}",,Antigua y Barbuda,-62,17,69,"25,9",6
"{""type"":""Point"",""coordinates"":[44.54624581503524,24.123000245066713]}",,Arabia Saudita,45,24,182493,"190,2",7
"{""type"":""Point"",""coordinates"":[2.632388483234974,28.16323953589313]}",,Argelia,3,28,13273,18,8
"{""type"":""Point"",""coordinates"":[-65.16772758887953,-35.37643788997214]}",,Argentina,-65,-35,59933,"22,1",9
"{""type"":""Point"",""coordinates"":[44.947393661535344,40.286200023995534]}",,Armenia,45,40,24645,"189,6",10
"{""type"":""Point"",""coordinates"":[134.48956276636,-25.734968786370995]}",,Australia,134,-26,7767,"27,6",11
"{""type"":""Point"",""coordinates"":[14.14019116247076,47.59290286124022]}",,Austria,14,48,17654,"184,3",12
"{""type"":""Point"",""coordinates"":[48.8198278936843,40.296991971874235]}",,Azerbaiyán,49,40,16424,"37,2",13
"{""type"":""Point"",""coordinates"":[-76.54661990962549,24.201119930517176]}",,Bahamas,-77,24,104,"25,2",14
"{""type"":""Point"",""coordinates"":[50.55964462834356,26.02240594701995]}",,Bahrein,51,26,25705,"529,6",15
"{""type"":""Point"",""coordinates"":[90.26849872394831,23.843231636908524]}",,Bangladesh,90,24,137787,"16,9",16
"{""type"":""Point"",""coordinates"":[-59.56195470060759,13.178714482962887]}",,Barbados,-60,13,97,"31,4",17
"{""type"":""Point"",""coordinates"":[4.66398728383646,50.642851900797055]}",,Bélgica,5,51,61295,"487,6",18
"{""type"":""Point"",""coordinates"":[-88.68476701072386,17.21766750963743]}",,Belice,-89,17,24,"4,4",19
"{""type"":""Point"",""coordinates"":[2.343134618261871,9.64731894699844]}",,Benin,2,10,1149,"1,2",20
"{""type"":""Point"",""coordinates"":[28.046787646930937,53.539997726847226]}",,Bielorrusia,28,54,61475,"355,1",21
"{""type"":""Point"",""coordinates"":[96.50692090586858,21.154318857249727]}",,Myanmar,97,21,299,"0,4",22
"{""type"":""Point"",""coordinates"":[-64.67093196813262,-16.714610143809384]}",,Bolivia,-65,-17,31524,"45,2",23
"{""type"":""Point"",""coordinates"":[17.78653087559779,44.16811541278854]}",,Bosnia y Herzegovina,18,44,3935,"71,2",24
Point,,Botswana,"23,871987","-20,829932",92,"1,2",25
"{""type"":""Point"",""coordinates"":[-53.089819968305626,-10.773108989303326]}",,Brasil,-53,-11,1344143,"146,6",26
