Ingles;Espanol
Afghanistan;Afganistán
Åland Islands;Åland
Albania;Albania
Germany;Alemania
Andorra;Andorra
Angola;Angola
Anguilla;Anguila
Antarctica;Antártida
Antigua and Barbuda;Antigua y Barbuda
Saudi Arabia;Arabia Saudita
Algeria;Argelia
Argentina;Argentina
Armenia;Armenia
Aruba;Aruba
Australia;Australia
Austria;Austria
Azerbaijan;Azerbaiyán
Bahamas;Bahamas
Bahrein;Bahrein
Bangladesh;Bangladesh
Barbados;Barbados
Bahrain;Baréin
Belgium;Bélgica
Belize;Belice
Benin;Benin
Bermuda;Bermudas
Belarus;Bielorrusia
Bolivia;Bolivia
Bosnia and Herzegovina;Bosnia y Herzegovina
Botswana;Botswana
Brazil;Brasil
Brunei;Brunei Darussalam
Bulgaria;Bulgaria
Burkina Faso;Burkina Faso
Burundi;Burundi
Bhutan;Bután
Cabo Verde;Cabo Verde
Cambodia;Camboya
Cameroon;Camerún
Canada;Canadá
Qatar;Qatar
Chad;Chad
Chile;Chile
Cyprus;Chipre
Holy See;Santa Sede
Colombia;Colombia
Comoros;Comoras
North Korea;Corea del Norte
Korea, South;Corea del Sur
Cote d'Ivoire;Costa de Marfil
Costa Rica;Costa Rica
Croatia;Croacia
Cuba;Cuba
Curaçao;Curazao
Denmark;Dinamarca
Dominica;Dominica
Ecuador;Ecuador
Egypt;Egipto
El Salvador;El Salvador
United Arab Emirates;Emiratos Árabes Unidos
Eritrea;Eritrea
Slovakia;Eslovaquia
Slovenia;Eslovenia
Spain;España
US;Estados Unidos
Estonia;Estonia
Eswatini;eSwatini
Ethiopia;Etiopía
Philippines;Filipinas
Finland;Finlandia
Fiji;Fiyi
France;Francia
Gabon;Gabón
Gambia;Gambia
Georgia;Georgia
Ghana;Ghana
Siachen Glacier;Glaciar de Siachen
Grenada;Granada
Greece;Grecia
Greenland;Groenlandia
Guam;Guam
Guatemala;Guatemala
Guernsey;Guernsey
Guinea;Guinea
Equatorial Guinea;Guinea Ecuatorial
Guinea-Bissau;Guinea-Bissau
Guyana;Guayana
Haiti;Haití
Honduras;Honduras
Hong Kong;Hong Kong
Hungary;Hungría
India;India
Indonesia;Indonesia
Iraq;Irak
Iran;Irán
Ireland;Irlanda
Isle of Man;Isla de Man
Norfolk Island;Isla Norfolk
Saint Helena;Isla Santa Elena
Iceland;Islandia
Ashmore and Cartier Islands;Islas Ashmore y Cartier
Cayman Islands;Islas Caimán
Cook Islands;Islas Cook
Faroe Islands;Islas Feroe
South Georgia and the South Sandwich Islands;Islas Georgias del Sur y Sándwich del Sur
Heard Island and McDonald Islands;Islas Heard y McDonald
Falkland Islands;Islas Malvinas
Northern Mariana Islands;Islas Marianas del Norte
Marshall Islands;Islas Marshall
Pitcairn Islands;Islas Pitcairn
Solomon Islands;Islas Salomón
Turks and Caicos Islands;Islas Turcas y Caicos
British Virgin Islands;Islas Vírgenes Británicas
United States Virgin Islands;Islas Vírgenes de los Estados Unidos
Israel;Israel
Italy;Italia
Jamaica;Jamaica
Japan;Japón
Jersey;Jersey
Jordan;Jordania
Kazakhstan;Kazajstán
Kenya;Kenia
Kyrgyzstan;Kirguistán
Kiribati;Kiribati
Kosovo;Kosovo
Kuwait;Kuwait
Laos;Laos
Lesotho;Lesoto
Latvia;Letonia
Lebanon;Líbano
Liberia;Liberia
Libya;Libia
Liechtenstein;Liechtenstein
Lithuania;Lituania
Luxembourg;Luxemburgo
Macau;Macao
Madagascar;Madagascar
Malaysia;Malasia
Malawi;Malawi
Maldives;Maldivas
Mali;Mali
Malta;Malta
Morocco;Marruecos
Mauritius;Mauricio
Mauritania;Mauritania
Mexico;Mexico
Federated States of Micronesia;Micronesia
Moldova;Moldavia
Monaco;Mónaco
Mongolia;Mongolia
Montenegro;Montenegro
Montserrat;Montserrat
Mozambique;Mozambique
Burma;Myanmar
Namibia;Namibia
Nauru;Nauru
Nepal;Nepal
Nicaragua;Nicaragua
Niger;Níger
Nigeria;Nigeria
Niue;Niue
Norway;Noruega
New Caledonia;Nueva Caledonia
New Zealand;Nueva Zelanda
Oman;Omán
Netherlands;Países Bajos
Pakistan;Pakistán
Palau;Palaos
West Bank and Gaza;Territorios Palestinos
Panama;Panamá
Papua New Guinea;Papúa Nueva Guinea
Paraguay;Paraguay
Peru;Perú
French Polynesia;Polinesia Francesa
Poland;Polonia
Portugal;Portugal
Puerto Rico;Puerto Rico
United Kingdom;Reino Unido
Central African Republic;República Centroafricana
Czechia;Chequia
North Macedonia;Macedonia del norte
Congo (Brazzaville);Congo
Congo (Kinshasa);República Democrática del Congo
Dominican Republic;República Dominicana
China;China
Turkish Republic of Northern Cyprus;República Turca del Norte de Chipre
Rwanda;Ruanda
Romania;Rumania
Russia;Federación Rusa
Western Sahara;Sáhara Occidental
Samoa;Samoa
American Samoa;Samoa Estadounidense
Saint-Barthélemy;San Bartolomé
Saint Kitts and Nevis;San Cristóbal y Nieves
San Marino;San Marino
Saint Martin;San Martín
Saint Pierre and Miquelon;San Pedro y Miquelón
Saint Vincent and the Grenadines;San Vicente y las Granadinas
Saint Lucia;Santa Lucía
Sao Tome and Principe;Santo Tomé y Príncipe
Senegal;Senegal
Serbia;Serbia
Seychelles;Seychelles
Sierra Leone;Sierra Leona
Singapore;Singapur
Sint Maarten;Sint Maarten
Syria;Siria
Somalia;Somalia
Somaliland;Somalilandia
Sri Lanka;Sri Lanka
South Africa;Sudáfrica
Sudan;Sudán
South Sudan;Sudán del Sur
Sweden;Suecia
Switzerland;Suiza
Suriname;Surinam
Thailand;Tailandia
Taiwan*;Taiwán
Tanzania;Tanzania
Tajikistan;Tayikistán
British Indian Ocean Territory;Territorio Británico del Océano Índico
Australian Indian Ocean Territories;Territorios Australianos del Océano Índico
French Southern and Antarctic Lands;Tierras Australes y Antárticas Francesas
Timor-Leste;Timor-Leste
Togo;Togo
Tonga;Tonga
Trinidad and Tobago;Trinidad y Tobago
Tunisia;Túnez
Turkmenistan;Turkmenistán
Turkey;Turquía
Ukraine;Ucrania
Uganda;Uganda
Uruguay;Uruguay
Uzbekistan;Uzbekistán
Vanuatu;Vanuatu
Venezuela;Venezuela
Vietnam;Vietnam
Wallis and Futuna;Wallis y Futuna
Yemen;Yemen
Djibouti;Djibouti
Zambia;Zambia
Zimbabwe;Zimbabue
Swazilandia;Swazilandia
