"","dias","Argentina","Bolivia","Brasil","Chile","Colombia","Cuba","Ecuador","El Salvador","Guatemala","Honduras","Mexico","Nicaragua","Panamá","Perú","República Dominicana"
"1",1,"56","53",59,"57","54","51","58","51","51","55","60","55","54","55","51"
"2",2,"63","55",77,"65","69","54","60","52","55","59","79","55","55","61","57"
"3",3,"72","59",92,"73","80","56","75","53","58","59","94","55","59","73","60"
"4",4,"82","62",111,"80","100","58","93","53","59","61","125","55","63","83","68"
"5",5,"83","66",136,"82","109","58","120","53","63","64","141","55","66","92","68"
"6",6,"90","71",159,"92","112","61","145","56","68","66","174","55","74","107","82"
"7",7,"97","76",201,"94","127","64","172","60","80","71","194","55","79","121","86"
"8",8,"102","82",240,"105","131","66","180","64","90","75","233","64","87","138","98"
"9",9,"111","86",324,"116","144","67","191","68","102","76","273","64","94","169","108"
"10",10,"115","91",359,"126","153","69","191","68","108","82","296","64","95","181","118"
"11",11,"123","102",445,"133","153","69","242","72","116","83","332","64","103","193","126"
"12",12,"129","106",486,"139","179","69","272","74","123","93","406","64","109","216","135"
"13",13,"132","114",564,"147","189","73","297","74","143","99","449","64","116","230","173"
"14",14,"136","118",686,"160","196","74","315","76","158","105","486","64","120","254","177"
"15",15,"147","122",819,"168","206","74","333","79","216","107","546","74","126","274","183"
"16",16,"152","128",950,"174","215","77","355","82","230","108","650","74","136","300","189"
"17",17,"165","142",1057,"181","225","77","369","86","252","108","686","74","141","348","196"
"18",18,"176","152",1124,"189","233","78","388","93","267","116","712","74","146","400","200"
"19",19,"185","164",1223,"198","244","79","403","98","289","121","857","74","154","445","217"
"20",20,"192","165",1328,"207","253","79","421","107","316","123","970","74","159","484","226"
"21",21,"197","169",1532,"216","269","79","456","113","334","133","1069"," ","165","530","235"
"22",22,"207","174",1736,"227","278","79","474","119","351","134","1221"," ","167","572","245"
"23",23,"214","189",1924,"234","293","79","507","126","367","138","1305"," ","167","634","260"
"24",24,"218","199",2141,"247","314","79","520","133","384","142","1351"," ","178","700","265"
"25",25,"225","215",2354,"260","324","79","537","143","399","146","1434"," ","188","728","267"
"26",26,"237","230",2462,"270","340","79","560","152","418","147","1569"," ","192","782","273"
"27",27,"246","240",2587,"275","358","80","576"," ","432","147","1732"," ","197","854","278"
"28",28,"260","250",2741,"281","378","81","576"," ","449","156","1859"," ","197","943","282"
"29",29,"264","261",2906,"285","397","81","576"," ","483","167","1972"," ","200","1051","286"
"30",30,"273","274",3331,"294","407","82","663"," ","514","167","2061"," ","210","1124","293"
"31",31,"282","280",3704,"304","428","82","871"," ","531","180","2154"," ","218","1200","301"
"32",32,"293","293",4057,"312","445","82","883"," ","547","182","2271"," ","225","1286","313"
"33",33,"300","300",4286,"323","463","82","900"," ","582","188","2507"," ","231","1344","326"
"34",34,"305","310",4603,"335","479","82","1063"," ","601","194","2704"," ","237","1444","333"
"35",35,"314","313",5083,"346","493","82","1371"," ","623","196","2961"," ","244","1533","346"
"36",36,"319","343",5513,"368","509","83","1564"," ","672","196","3160"," ","249","1627","354"
"37",37,"329","376",6006,"394","525","83","1569"," ","706","201","3353"," ","252","1714","362"
"38",38,"353","400",6412,"421","546","83","1569"," ","727","212","3465"," ","256","1814","373"
"39",39,"356","415",6761,"450","562","83","1618"," "," ","217","3573"," ","260","1889","380"
"40",40,"363","427",7051,"478","574","83","1654"," "," ","225","3926"," ","266","1961","385"
"41",41,"373","454",7367,"509","592","83","1704"," "," ","234","4220"," ","269","2057","388"
"42",42,"382","465",7938,"544","613","83","1717"," "," ","243","4477"," ","275","2169","393"
"43",43,"393","475",8588,"589","630","83","2127"," "," ","248","4767"," ","279","2267","402"
"44",44,"403","487",9190,"630","652","83","2145"," "," ","250","5045"," ","281","2392","409"
"45",45,"416","512",10017,"673","682","83","2327"," "," ","258","5177"," ","287","2523","422"
"46",46,"433","533",10656,"718","705","83","2334"," "," ","262","5332"," ","291","2648","424"
"47",47,"445","559",11123,"761","727","83","2338"," "," ","271","5666"," ","295","2789","428"
"48",48,"452","585",11653,"806","750","84","2594"," "," ","290","6090"," ","299","2914","428"
"49",49,"467","611",12461,"841","776","84","2688"," "," ","294","6510"," ","306","3024","434"
"50",50,"484","632",13240,"890","803","84","2736"," "," ","306","6989"," ","310","3148","441"
