país,español
Thailand,Tailandia
Japan,Japón
Singapore,Singapur
Nepal,Nepal
Malaysia,Malasia
Canada,Canadá
Australia,Australia
Cambodia,Camboya
Sri Lanka,Sri Lanka
Germany,Alemania
Finland,Finlandia
United Arab Emirates,Emiratos Árabes Unidos
Philippines,Filipinas
India,India
Italy,Italia
Sweden,Suecia
Spain,Espa?a
Belgium,Bélgica
Egypt,Egipto
Lebanon,Líbano
Iraq,Irak
Oman,Omán
Afghanistan,Afganistán
Bahrain,Bahrein
Kuwait,Kuwait
Algeria,Argelia
Croatia,Croacia
Switzerland,Suiza
Austria,Austria
Israel,Israel
Pakistan,Pakistán
Brazil,Brasil
Georgia,Georgia
Greece,Grecia
North Macedonia,Macedonia del norte
Norway,Noruega
Romania,Rumania
Estonia,Estonia
San Marino,San Marino
Belarus,Bielorrusia
Iceland,Islandia
Lithuania,Lituania
Mexico,Mexico
New Zealand,Nueva Zelanda
Nigeria,Nigeria
Ireland,Irlanda
Luxembourg,Luxemburgo
Monaco,Mónaco
Qatar,Katar
Ecuador,Ecuador
Azerbaijan,Azerbaiyán
Armenia,Armenia
Dominican Republic,República Dominicana
Indonesia,Indonesia
Portugal,Portugal
Andorra,Andorra
Latvia,Letonia
Morocco,Marruecos
Saudi Arabia,Arabia Saudita
Senegal,Senegal
Argentina,Argentina
Chile,Chile
Jordan,Jordán
Ukraine,Ucrania
Hungary,Hungría
Liechtenstein,Liechtenstein
Poland,Polonia
Tunisia,Túnez
Bosnia and Herzegovina,Bosnia y Herzegovina
Slovenia,Eslovenia
South Africa,Sudáfrica
Bhutan,Bután
Cameroon,Camerún
Colombia,Colombia
Costa Rica,Costa Rica
Peru,Perú
Serbia,Serbia
Slovakia,Eslovaquia
Togo,Togo
Malta,Malta
Martinique,Martinica
Bulgaria,Bulgaria
Maldives,Maldivas
Bangladesh,Bangladesh
Paraguay,Paraguay
Albania,Albania
Cyprus,Chipre
Brunei,Brunei
US,Estados Unidos
Burkina Faso,Burkina Faso
Holy See,Santa Sede
Mongolia,Mongolia
Panama,Panamá
China,China
Iran,Irán
"Korea, South",Corea del Sur
France,Francia
Cruise Ship,Crucero
Denmark,Dinamarca
Czechia,Chequia
Taiwan*,Taiwán
Vietnam,Vietnam
Russia,Rusia
Moldova,Moldavia
Bolivia,Bolivia
Honduras,Honduras
United Kingdom,Reino Unido
Congo (Kinshasa),Congo (Kinshasa)
Cote d'Ivoire,Costa de Marfil
Jamaica,Jamaica
Turkey,Turquía
Cuba,Cuba
Guyana,Guayana
Kazakhstan,Kazajstán
Ethiopia,Etiopía
Sudan,Sudán
Guinea,Guinea
Kenya,Kenia
Antigua and Barbuda,Antigua y Barbuda
Uruguay,Uruguay
Ghana,Ghana
Namibia,Namibia
Seychelles,Seychelles
Trinidad and Tobago,Trinidad y Tobago
Venezuela,Venezuela
Eswatini,Eswatini
Gabon,Gabón
Guatemala,Guatemala
Mauritania,Mauritania
Rwanda,Ruanda
Saint Lucia,Santa Lucía
Saint Vincent and the Grenadines,San Vicente y las Granadinas
Suriname,Surinam
Kosovo,Kosovo
Central African Republic,República Centroafricana
Congo (Brazzaville),Congo (Brazzaville)
Equatorial Guinea,Guinea Ecuatorial
Uzbekistan,Uzbekistán
Netherlands,Países Bajos
Benin,Benin
Liberia,Liberia
Somalia,Somalia
Tanzania,Tanzania
Barbados,Barbados
Montenegro,Montenegro
Kyrgyzstan,Kirguistán
Mauritius,Mauricio
Zambia,Zambia
Djibouti,Djibouti
"Gambia, The","Gambia, el"
"Bahamas, The","Bahamas, el"
Chad,Chad
El Salvador,El Salvador
Fiji,Fiyi
Nicaragua,Nicaragua
